method,min_prob,indist_acc_kept,coverage,ood_flagged
actinn-jax,0.0,0.885,1.0,0.0
actinn-jax,0.3,0.894,0.987,0.067
actinn-jax,0.5,0.919,0.928,0.299
actinn-jax,0.7,0.946,0.838,0.519
actinn-jax,0.9,0.969,0.657,0.733
linear-anova-pca,0.0,0.891,1.0,0.0
linear-anova-pca,0.3,0.891,1.0,0.004
linear-anova-pca,0.5,0.894,0.992,0.07
linear-anova-pca,0.7,0.916,0.933,0.246
linear-anova-pca,0.9,0.941,0.849,0.462
knn,0.0,0.774,1.0,0.0
knn,0.3,0.781,0.985,0.025
knn,0.5,0.83,0.864,0.276
knn,0.7,0.921,0.615,0.631
knn,0.9,0.988,0.356,0.827
celltypist,0.0,0.873,1.0,0.0
celltypist,0.3,0.936,0.681,0.682
celltypist,0.5,0.936,0.68,0.682
celltypist,0.7,0.936,0.68,0.682
celltypist,0.9,0.937,0.678,0.683
protocloud,0.0,0.719,1.0,0.0
protocloud,0.3,0.719,1.0,0.001
protocloud,0.5,0.719,0.998,0.002
protocloud,0.7,0.719,0.974,0.019
protocloud,0.9,0.75,0.615,0.469
sctop,0.0,0.755,1.0,0.0
sctop,0.3,0.91,0.403,0.81
sctop,0.5,0.971,0.058,0.977
sctop,0.7,1.0,0.002,0.999
sctop,0.9,1.0,0.001,1.0
